status,distance,duration,distance_from_start,duration_from_start,location,stop_id,trip_id
travelling,0.7848273714278297,57.0,7.192283108728982,2002.0,"LINESTRING (36.816574845465375 -1.2483947898013577, 36.816714406 -1.24848783016, 36.8169236183 -1.2485897541, 36.8171489239 -1.24863266945, 36.8174815178 -1.24867022038, 36.8180179596 -1.24879360199, 36.8185973167 -1.24899744987, 36.8195843697 -1.24917984009, 36.820769906 -1.24950170517, 36.8210864067 -1.2496304512, 36.8212902546 -1.24981820583, 36.8214029074 -1.24997913837, 36.8214511871 -1.2500756979, 36.8214404583 -1.25016689301, 36.8213653564 -1.25023126602, 36.8212580681 -1.25023663044, 36.8212044239 -1.25019907951, 36.8210703135 -1.25026345253, 36.8203300238 -1.25043511391, 36.8199330568 -1.25048875809, 36.819835890333174 -1.2505145369453015)",,1011F110
at_stop,0.0,20.0,7.192283108728982,2002.0,POINT (36.81984186 -1.250537038),0110MTS,1011F110
travelling,1.611936004380429,133.0,8.804219113109411,2155.0,"LINESTRING (36.819835890333174 -1.2505145369453015, 36.8196702003 -1.25055849552, 36.8190801144 -1.25083208084, 36.8186855 -1.251007, 36.8178248405 -1.2514436245, 36.8177068233 -1.25155091286, 36.8176692724 -1.25168502331, 36.817677 -1.251853, 36.817728281 -1.25201225281, 36.8178141117 -1.25208199024, 36.8180125952 -1.25212490559, 36.8187475204 -1.25212490559, 36.8192142248 -1.25202298164, 36.819396615 -1.25201761723, 36.819857955 -1.25217318535, 36.8206787109 -1.25282764435, 36.8211561441 -1.25308513641, 36.821369 -1.253137, 36.823364 -1.254578, 36.823769 -1.254792, 36.8240207434 -1.2549251318, 36.8242889643 -1.25501096249, 36.8248146772 -1.2551343441, 36.8251365423 -1.25524163246, 36.825836 -1.255678, 36.8260216713 -1.25594973564, 36.826275 -1.256637, 36.8269228935 -1.25785946846, 36.82693541715307 -1.2578765126122227)",,1011F110
at_stop,0.0,20.0,8.804219113109411,2155.0,POINT (36.82689607 -1.257905424),0110BLV,1011F110
travelling,0.187750112099569,28.0,8.99196922520898,2203.0,"LINESTRING (36.82693541715307 -1.2578765126122227, 36.827118 -1.258125, 36.827156 -1.258286, 36.827131 -1.2584145, 36.8267512321 -1.25935077667, 36.82671871109996 -1.2594250575963895)",,1011F110
at_stop,0.0,20.0,8.99196922520898,2203.0,POINT (36.82673 -1.25943),0100TCP,1011F110
travelling,0.2603722112557136,38.0,9.252341436464693,2261.0,"LINESTRING (36.82671871109996 -1.2594250575963895, 36.8258070946 -1.26150727272, 36.82577240460263 -1.2615784784990884)",,1011F110
at_stop,0.0,20.0,9.252341436464693,2261.0,POINT (36.8257615 -1.261573166),0110MYA,1011F110
travelling,0.19833357088280507,31.0,9.450675007347499,2312.0,"LINESTRING (36.82577240460263 -1.2615784784990884, 36.824991703 -1.26318097115, 36.82498806622584 -1.2631890681190137)",,1011F110
at_stop,0.0,20.0,9.450675007347499,2312.0,POINT (36.82507753 -1.263229251),0110TPA,1011F110
travelling,0.12092432468500358,23.0,9.571599332032502,2355.0,"LINESTRING (36.82498806622584 -1.2631890681190137, 36.82454048472517 -1.2641855703436464)",,1011F110
at_stop,0.0,20.0,9.571599332032502,2355.0,POINT (36.82468057 -1.26424849),0110YIL,1011F110
travelling,0.2886571705586492,41.0,9.86025650259115,2416.0,"LINESTRING (36.82454048472517 -1.2641855703436464, 36.8244230747 -1.2644469738, 36.8240529299 -1.26520335674, 36.8232214451 -1.26642107964, 36.82321972285622 -1.2664234243814863)",,1011F110
at_stop,0.0,20.0,9.86025650259115,2416.0,POINT (36.82319462 -1.266404986),0110AGK,1011F110
travelling,0.28909036140940453,41.0,10.149346864000556,2477.0,"LINESTRING (36.82321972285622 -1.2664234243814863, 36.8227761984 -1.26702725887, 36.8224596977 -1.26730620861, 36.821331 -1.268097, 36.821331 -1.268097, 36.821289681800984 -1.268134382356768)",,1011F110
at_stop,0.0,20.0,10.149346864000556,2477.0,POINT (36.82123929 -1.268078685),0110ROA,1011F110
travelling,0.20738556474186978,31.0,10.356732428742426,2528.0,"LINESTRING (36.821289681800984 -1.268134382356768, 36.8211615086 -1.26825034618, 36.8209415674 -1.26848101616, 36.8207323551 -1.26876533031, 36.8205606937 -1.26915156841, 36.8205231428 -1.26937687397, 36.82051241 -1.269682646, 36.82051377590526 -1.2697536468152044)",,1011F110
at_stop,0.0,20.0,10.356732428742426,2528.0,POINT (36.82057947 -1.269752383),0110TAA,1011F110
travelling,0.3602815469859252,46.0,10.717013975728351,2594.0,"LINESTRING (36.82051377590526 -1.2697536468152044, 36.8205231428 -1.27024054527, 36.8205553293 -1.27040684223, 36.8206465244 -1.27050340176, 36.82153165 -1.271173954, 36.8218159676 -1.27141535282, 36.8219929934 -1.27162456512, 36.82229877 -1.272085905, 36.822369421367554 -1.2722177954378984)",,1011F110
at_stop,0.0,20.0,10.717013975728351,2594.0,POINT (36.82239532 -1.272203922),0100RGH,1011F110
travelling,0.2384558233820897,38.0,10.95546979911044,2652.0,"LINESTRING (36.822369421367554 -1.2722177954378984, 36.8223792315 -1.27223610878, 36.82262599 -1.272654533, 36.82297468 -1.273190975, 36.8231678009 -1.27345919609, 36.823387742 -1.27368986607, 36.8235057592 -1.27390444279, 36.8234413862 -1.27399563789)",,1011F110
at_stop,0.0,20.0,10.95546979911044,2652.0,POINT (36.82365865 -1.274190277),0110IRT,1011F110
travelling,2.132993801587622,115.0,13.088463600698063,2787.0,"LINESTRING (36.8234413862 -1.27399563789, 36.8233823776 -1.27403855324, 36.8232750893 -1.27403318882, 36.8232268095 -1.27386152744, 36.822411418 -1.27365767956, 36.8215692043 -1.27299785614, 36.8210327625 -1.27255797386, 36.8202388287 -1.27363085747, 36.8196702003 -1.27433896065, 36.81904256 -1.274001002, 36.81843102 -1.274794936, 36.81827009 -1.275047064, 36.8190372 -1.275781989, 36.81970239 -1.276441813, 36.82014763 -1.276844144, 36.82068408 -1.277208924, 36.82122052 -1.277455688, 36.8216121197 -1.27770781517, 36.8217033148 -1.27782046795, 36.8217515945 -1.27799212933, 36.8218535185 -1.27812087536, 36.8219822645 -1.27835154533, 36.8220305443 -1.27864658833, 36.8220090866 -1.27886652946, 36.8219286203 -1.27904891968, 36.82153165 -1.279472709, 36.821397543 -1.27967655659, 36.8213760853 -1.27980530262, 36.8213814497 -1.27992868423, 36.8215477467 -1.2802451849, 36.8217247725 -1.28042757511, 36.8222397566 -1.28088891506, 36.8222934008 -1.28098011017, 36.8224972486 -1.2810498476, 36.8226850033 -1.28111958504, 36.8229156733 -1.28129124641, 36.8229693174 -1.28144145012, 36.8229317665 -1.28159165382, 36.82278156 -1.281704307, 36.822835207 -1.28178477287, 36.8240690231 -1.28278791904, 36.824567914 -1.2831902504, 36.82469666 -1.28302395344)",,1011F110
at_terminal,0.0,920.0,13.088463600698063,2787.0,POINT (36.82492197 -1.282830834),0212SNT,1011F110
at_terminal,0.0,920.0,0.0,0.0,POINT (36.95931673 -1.147668958),0213MRY,1107D110
travelling,1.6312540476045092,139.0,1.6312540476045092,1059.0,"LINESTRING (36.95934589759823 -1.1475474263558056, 36.9594722986 -1.1475777626, 36.9595366716 -1.14784598351, 36.9591718912 -1.14794790745, 36.9592899084 -1.14837706089, 36.960327 -1.148151, 36.960327 -1.148151, 36.960423 -1.148097, 36.960537 -1.148134, 36.96059 -1.148229, 36.960567 -1.148336, 36.960464 -1.148395, 36.960365 -1.148371, 36.958633 -1.148734, 36.957706 -1.148662, 36.9512915611 -1.14993810654, 36.950712204 -1.1499273777, 36.9492208958 -1.14972352982, 36.94884179839242 -1.1496801391521747)",,1107D110
at_stop,0.0,20.0,1.6312540476045092,1059.0,POINT (36.94882929 -1.149789423),0100OOA,1107D110
travelling,0.1593330121720097,27.0,1.790587059776519,1106.0,"LINESTRING (36.94884179839242 -1.1496801391521747, 36.947439909 -1.14951968193, 36.94741938564766 -1.1495171678040037)",,1107D110
at_stop,0.0,20.0,1.790587059776519,1106.0,POINT (36.94740772 -1.149612397),0100AWA,1107D110
travelling,0.2164458810252891,32.0,2.007032940801808,1158.0,"LINESTRING (36.94741938564766 -1.1495171678040037, 36.946667 -1.149425, 36.946251 -1.14943, 36.9455516338 -1.14962697029, 36.94550933376681 -1.1496410703013502)",,1107D110
at_stop,0.0,20.0,2.007032940801808,1158.0,POINT (36.94552481 -1.149687499),0100TPS,1107D110
travelling,0.34283783798650436,47.0,2.3498707787883126,1225.0,"LINESTRING (36.94550933376681 -1.1496410703013502, 36.9425904751 -1.15061402321, 36.942585019201964 -1.1506154026465047)",,1107D110
at_stop,0.0,20.0,2.3498707787883126,1225.0,POINT (36.94259048 -1.150637001),0100OTN,1107D110
travelling,0.573930740325588,72.0,2.9238015191139004,1317.0,"LINESTRING (36.942585019201964 -1.1506154026465047, 36.941582 -1.150869, 36.93746220245863 -1.1510209236039364)",,1107D110
at_stop,0.0,20.0,2.9238015191139004,1317.0,POINT (36.93746209 -1.151017874),0110LHL,1107D110
travelling,0.7030503672915039,86.0,3.6268518864054045,1423.0,"LINESTRING (36.93746220245863 -1.1510209236039364, 36.9374406338 -1.15102171898, 36.9353699684 -1.15110754967, 36.9315290451 -1.1516225338, 36.93118471768993 -1.1516734343747543)",,1107D110
at_stop,0.0,20.0,3.6268518864054045,1423.0,POINT (36.93119645 -1.1517528),0110AOH,1107D110
travelling,0.18587358863125275,30.0,3.812725475036657,1473.0,"LINESTRING (36.93118471768993 -1.1516734343747543, 36.930295229 -1.15180492401, 36.92952436945461 -1.1518215016322229)",,1107D110
at_stop,0.0,20.0,3.812725475036657,1473.0,POINT (36.92952543 -1.151870817),0110ISR,1107D110
travelling,1.1144907962493034,126.0,4.92721627128596,1619.0,"LINESTRING (36.92952436945461 -1.1518215016322229, 36.9292974472 -1.15182638168, 36.9278597832 -1.15167617798, 36.926625967 -1.15140795708, 36.92363 -1.150674, 36.923218 -1.15066, 36.922935 -1.150721, 36.919943906370904 -1.1521096526302725)",,1107D110
at_stop,0.0,20.0,4.92721627128596,1619.0,POINT (36.9199419 -1.152105331),0100RJI,1107D110
travelling,0.11129198178966421,21.0,5.038508253075625,1660.0,"LINESTRING (36.919943906370904 -1.1521096526302725, 36.919857 -1.15215, 36.919857 -1.15215, 36.919975 -1.152559, 36.920116 -1.152823, 36.9202208519 -1.15294754505, 36.92023888968873 -1.152958652023101)",,1107D110
at_stop,0.0,20.0,5.038508253075625,1660.0,POINT (36.92023158 -1.152970523),0100JO.,1107D110
travelling,0.8163456283894833,86.0,5.854853881465108,1766.0,"LINESTRING (36.92023888968873 -1.152958652023101, 36.920574 -1.153165, 36.92609 -1.154922, 36.92609 -1.154922, 36.926189 -1.154798, 36.9263792038 -1.15478754044, 36.926487 -1.15488, 36.9265079498 -1.15505576134, 36.926357 -1.155197, 36.926163 -1.155159, 36.926109329685005 -1.1552274136671226)",,1107D110
at_stop,0.0,20.0,5.854853881465108,1766.0,POINT (36.926119 -1.155235),0100NRP,1107D110
travelling,0.6997450021025803,86.0,6.554598883567689,1872.0,"LINESTRING (36.926109329685005 -1.1552274136671226, 36.923309 -1.158797, 36.9227206707 -1.15960478783, 36.922527 -1.159979, 36.9223988056 -1.16023778915, 36.922367719170104 -1.1602973714799973)",,1107D110
at_stop,0.0,20.0,6.554598883567689,1872.0,POINT (36.92236662 -1.160296798),0100AEL,1107D110
travelling,0.9029839880424613,108.0,7.45758287161015,2000.0,"LINESTRING (36.922367719170104 -1.1602973714799973, 36.9217550755 -1.1614716053, 36.9207036495 -1.16389095783, 36.9196522236 -1.16637468338, 36.9193571806 -1.16707742214, 36.91904503649075 -1.1677436401805574)",,1107D110
at_stop,0.0,20.0,7.45758287161015,2000.0,POINT (36.91900849 -1.167726517),0100..M,1107D110
travelling,0.5188752639663003,66.0,7.976458135576451,2086.0,"LINESTRING (36.91904503649075 -1.1677436401805574, 36.9189977646 -1.16784453392, 36.9186061621 -1.16853654385, 36.9176888466 -1.16999566555, 36.9165247679 -1.17168009281, 36.916521345223714 -1.1716850318063594)",,1107D110
at_stop,0.0,20.0,7.976458135576451,2086.0,POINT (36.91650867 -1.171676248),0100ANJ,1107D110
travelling,0.8893866948658755,107.0,8.865844830442326,2213.0,"LINESTRING (36.916521345223714 -1.1716850318063594, 36.9123351574 -1.17772579193, 36.9119650126 -1.17827832699, 36.911957913315405 -1.1782877471941624)",,1107D110
at_stop,0.0,20.0,8.865844830442326,2213.0,POINT (36.91195965 -1.178289056),0100A.P,1107D110
travelling,0.8235873489990645,99.0,9.68943217944139,2332.0,"LINESTRING (36.911957913315405 -1.1782877471941624, 36.9114071131 -1.17901861668, 36.9102537632 -1.18044018745, 36.908825 -1.182092, 36.9082581997 -1.18287563324, 36.907768 -1.183703, 36.9074910879 -1.18418455124, 36.90748456517026 -1.184199613996099)",,1107D110
at_stop,0.0,20.0,9.68943217944139,2332.0,POINT (36.90751523 -1.184212893),0100ACP,1107D110
travelling,0.2332005924130931,34.0,9.922632771854483,2386.0,"LINESTRING (36.90748456517026 -1.184199613996099, 36.907238 -1.184769, 36.9070726633 -1.18526279926, 36.9070190191 -1.18553102016, 36.9070672989 -1.18571341038, 36.907094121 -1.18583142757, 36.907029748 -1.18597626686, 36.9069170952 -1.18603527546, 36.906821022113554 -1.186029624099495)",,1107D110
at_stop,0.0,20.0,9.922632771854483,2386.0,POINT (36.906817 -1.186098),0100KHR,1107D110
travelling,0.5245956476586556,65.0,10.447228419513138,2471.0,"LINESTRING (36.906821022113554 -1.186029624099495, 36.906734705 -1.18602454662, 36.906677 -1.18645, 36.906439662 -1.187505126, 36.906208992 -1.18958115578, 36.9061714411 -1.18991374969, 36.906080246 -1.19058966637, 36.9060685286843 -1.190628073123467)",,1107D110
at_stop,0.0,20.0,10.447228419513138,2471.0,POINT (36.90608829 -1.190634102),0100PSA,1107D110
travelling,0.41120643751598385,54.0,10.858434857029122,2545.0,"LINESTRING (36.9060685286843 -1.190628073123467, 36.9057905674 -1.19153916836, 36.9054794312 -1.19234383106, 36.9051629305 -1.19297146797, 36.9045943022 -1.19391560555, 36.90452798906294 -1.1939822919912255)",,1107D110
at_stop,0.0,20.0,10.858434857029122,2545.0,POINT (36.90453798 -1.193992227),0110WOJ,1107D110
travelling,0.2657843668640518,38.0,11.124219223893174,2603.0,"LINESTRING (36.90452798906294 -1.1939822919912255, 36.904045 -1.194468, 36.903553 -1.194895, 36.9031727314 -1.1951816082, 36.90269448435084 -1.195513024987193)",,1107D110
at_stop,0.0,20.0,11.124219223893174,2603.0,POINT (36.9026953 -1.195514202),010044G,1107D110
travelling,1.6140494682476885,186.0,12.738268692140863,2809.0,"LINESTRING (36.90269448435084 -1.195513024987193, 36.9025611877 -1.19560539722, 36.898308 -1.197921, 36.8942570686 -1.20044946671, 36.8901157379 -1.20275616646, 36.89011110572867 -1.2027586604572764)",,1107D110
at_stop,0.0,20.0,12.738268692140863,2809.0,POINT (36.89014524 -1.202822059),0100ONO,1107D110
travelling,1.9826670352228641,226.0,14.720935727363727,3055.0,"LINESTRING (36.89011110572867 -1.2027586604572764, 36.8747520447 -1.21102809906, 36.87440305411709 -1.211216634191748)",,1107D110
at_stop,0.0,20.0,14.720935727363727,3055.0,POINT (36.87443823 -1.211281747),0100RUI,1107D110
travelling,0.8213250685055276,99.0,15.542260795869256,3174.0,"LINESTRING (36.87440305411709 -1.211216634191748, 36.8742853403 -1.21128022671, 36.8718338013 -1.21257841587, 36.8692052364 -1.2140160799, 36.86786545956081 -1.214659385464915)",,1107D110
at_stop,0.0,20.0,15.542260795869256,3174.0,POINT (36.86785609 -1.214639872),0110SRT,1107D110
travelling,0.3907542151771014,52.0,15.933015011046358,3246.0,"LINESTRING (36.86786545956081 -1.214659385464915, 36.8678534031 -1.21466517448, 36.86705 -1.214876, 36.8659436703 -1.21498703957, 36.8643987179 -1.21504604816, 36.86438923017929 -1.2150462695401538)",,1107D110
at_stop,0.0,20.0,15.933015011046358,3246.0,POINT (36.86438799 -1.214993119),0110DAS,1107D110
travelling,0.5370462213137197,68.0,16.470061232360077,3334.0,"LINESTRING (36.86438923017929 -1.2150462695401538, 36.8595707417 -1.21515870094, 36.8595650790837 -1.2151587706969251)",,1107D110
at_stop,0.0,20.0,16.470061232360077,3334.0,POINT (36.85956538 -1.215183198),0100TOR,1107D110
travelling,1.1211764027746334,127.0,17.59123763513471,3481.0,"LINESTRING (36.8595650790837 -1.2151587706969251, 36.85289 -1.215241, 36.852123 -1.2153, 36.8508321047 -1.2154430151, 36.8508481979 -1.21554493904, 36.8508481979 -1.21566832066, 36.8507945538 -1.21574342251, 36.8506282568 -1.21576488018, 36.85051 -1.215714, 36.8504565954 -1.21555566788, 36.849924303215836 -1.2156990814514947)",,1107D110
at_stop,0.0,20.0,17.59123763513471,3481.0,POINT (36.84993625 -1.215743423),0110RID,1107D110
travelling,1.6684816387457717,190.0,19.25971927388048,3691.0,"LINESTRING (36.849924303215836 -1.2156990814514947, 36.847809 -1.216269, 36.847267 -1.21637, 36.846275 -1.216458, 36.845028 -1.216424, 36.8385261297 -1.215711236, 36.8375015259 -1.21568977833, 36.8357044458 -1.21575951576, 36.83506072 -1.21575951576)",,1107D110
at_stop,0.0,20.0,19.25971927388048,3691.0,POINT (36.83506072 -1.215780973),0100BKH,1107D110
travelling,1.0800807984233354,127.0,20.339800072303817,3838.0,"LINESTRING (36.83506072 -1.21575951576, 36.8347012997 -1.21575951576, 36.8328398466 -1.21581852436, 36.830585 -1.21603, 36.82832 -1.216291, 36.826107502 -1.21644079685, 36.82538842047724 -1.216493670487611)",,1107D110
at_stop,0.0,20.0,20.339800072303817,3838.0,POINT (36.82539135 -1.216533512),0110TOH,1107D110
travelling,0.40401876033527684,54.0,20.743818832639093,3912.0,"LINESTRING (36.82538842047724 -1.216493670487611, 36.8253779411 -1.21649444103, 36.823296 -1.216487, 36.8217730522 -1.2164247036, 36.821759592921616 -1.2164235444027818)",,1107D110
at_stop,0.0,20.0,20.743818832639093,3912.0,POINT (36.82175428 -1.216485232),0100KWH,1107D110
travelling,0.7636533447438733,93.0,21.507472177382965,4025.0,"LINESTRING (36.821759592921616 -1.2164235444027818, 36.818897 -1.216177, 36.816803 -1.215871, 36.814962486937134 -1.2155239048658926)",,1107D110
at_stop,0.0,20.0,21.507472177382965,4025.0,POINT (36.814957 -1.215553),0100RUD,1107D110
travelling,1.2042042281452103,141.0,22.711676405528177,4186.0,"LINESTRING (36.814962486937134 -1.2155239048658926, 36.8149602413 -1.21552348137, 36.81282 -1.215015, 36.8102 -1.21426, 36.807961 -1.21343, 36.8063181639 -1.21276080608, 36.804738094537235 -1.2120393521404615)",,1107D110
at_stop,0.0,20.0,22.711676405528177,4186.0,POINT (36.8047142 -1.212091684),0110SOI,1107D110
travelling,0.6036526070709888,75.0,23.315329012599165,4281.0,"LINESTRING (36.804738094537235 -1.2120393521404615, 36.804676 -1.212011, 36.803097 -1.211201, 36.79992783678126 -1.2095174894824272)",,1107D110
at_stop,0.0,20.0,23.315329012599165,4281.0,POINT (36.79986477 -1.209636211),0100MOU,1107D110
travelling,0.32587819046134536,45.0,23.64120720306051,4346.0,"LINESTRING (36.79992783678126 -1.2095174894824272, 36.7999237776 -1.20951533318, 36.79734566842418 -1.208127938370615)",,1107D110
at_stop,0.0,20.0,23.64120720306051,4346.0,POINT (36.79728448 -1.208241641),0110WRS,1107D110
travelling,0.7744776599331084,93.0,24.41568486299362,4459.0,"LINESTRING (36.79734566842418 -1.208127938370615, 36.7973220348 -1.20811522007, 36.796944 -1.207921, 36.79649 -1.207609, 36.7953640223 -1.20729982853, 36.7942160368 -1.20704233646, 36.7929768562 -1.20681166649, 36.7917752266 -1.20653808117, 36.7912387848 -1.20636105537, 36.7907130718 -1.20617330074)",,1107D110
at_stop,0.0,20.0,24.41568486299362,4459.0,POINT (36.79068089 -1.206232309),0100AAA,1107D110
travelling,0.5616070587059693,70.0,24.97729192169959,4549.0,"LINESTRING (36.7907130718 -1.20617330074, 36.7894846201 -1.20550274849, 36.7884814739 -1.20503604412, 36.7879933119 -1.20484292507, 36.7874729633 -1.20469272137, 36.7865180969 -1.20448350906, 36.786020277327964 -1.2044320104893755)",,1107D110
at_stop,0.0,20.0,24.97729192169959,4549.0,POINT (36.78601384 -1.204494238),0100AMY,1107D110
travelling,0.39016861054964075,52.0,25.36746053224923,4621.0,"LINESTRING (36.786020277327964 -1.2044320104893755, 36.7858958244 -1.20441913605, 36.785466671 -1.20442450047, 36.7847371101 -1.20440840721, 36.7837607861 -1.20449960232, 36.782548073393016 -1.2047655480682007)",,1107D110
at_stop,0.0,20.0,25.36746053224923,4621.0,POINT (36.78255916 -1.204816103),0100ASW,1107D110
travelling,0.6190327350699022,32.0,25.98649326731913,4673.0,"LINESTRING (36.782548073393016 -1.2047655480682007, 36.7825376987 -1.20476782322, 36.7810463905 -1.20517015457, 36.7801988125 -1.20533108711, 36.7800539732 -1.20542764664, 36.7799735069 -1.20558857918, 36.7800056934 -1.20581388474, 36.780102253 -1.20599091053, 36.7802900076 -1.20611965656, 36.7823445797 -1.20665073395, 36.78236154940913 -1.2066523464562962)",,1107D110
at_stop,0.0,20.0,25.98649326731913,4673.0,POINT (36.78235799 -1.206689805),0110RTC,1107D110
travelling,0.3939554310696158,52.0,26.380448698388747,4745.0,"LINESTRING (36.78236154940913 -1.2066523464562962, 36.7835301161 -1.20676338673, 36.7844259739 -1.20681166649, 36.7849087715 -1.20686531067, 36.7853271961 -1.20696187019, 36.7858530801747 -1.2071366942148098)",,1107D110
at_terminal,0.0,920.0,26.380448698388747,4745.0,POINT (36.785845 -1.207161),0212RUS,1107D110
at_terminal,0.0,920.0,0.0,0.0,POINT (36.68674529 -1.286548376),0700AMD,70002110
travelling,0.1477434638772325,26.0,0.1477434638772325,946.0,"LINESTRING (36.686721124428956 -1.2865372388240266, 36.68727973949345 -1.2853251495062727)",,70002110
at_stop,0.0,20.0,0.1477434638772325,946.0,POINT (36.687338 -1.285352),0701KPC,70002110
