trip_id,n_trips,vkm,ave_nbr_vehicles,trips_per_vehicle,vkt,energy_kWh,energy_kWh_per_vehicle
trip_0001,158.0,1942.4708128394523,3.5879166666666666,44.03669724770642,541.3923993513744,776.988325135781,216.55695974054976
trip_0003,90.0,1479.0378104573497,4.797058823529412,18.7614960147149,308.32179985009134,591.61512418294,123.3287199400365
trip_0005,32.5,716.2488262827233,1.4111545138888888,23.03078768492603,507.56229685214964,286.49953051308927,203.02491874085987
trip_0007,66.0,1682.9465008780708,4.762352941176471,13.858695652173912,353.38550537212456,673.1786003512284,141.35420214884982
trip_0009,116.0,2710.469922577321,5.5933986928104575,20.73873263300576,484.5837158115076,1084.1879690309283,193.8334863246031
trip_0011,87.0,1434.9342195867805,3.147037037037037,27.64505119453925,455.9635627732502,573.9736878347122,182.38542510930012
trip_0013,192.0,5165.329162127814,9.389803921568628,20.447711326428333,550.0997896519348,2066.1316648511256,220.03991586077393
trip_0015,83.71428571428572,1014.9220359917995,4.552140452140452,18.390092879256965,222.95490366835563,405.9688143967198,89.18196146734226
trip_0017,132.0,4324.593328536645,5.739411764705881,22.998872604284102,753.4906896087216,1729.837331414658,301.39627584348864
trip_0019,80.0,480.70115721540026,0.8038095238095239,99.5260663507109,598.0286908485429,192.28046288616008,239.21147633941715
trip_0021,132.0,497.60317140364873,2.077058823529412,63.55140186915887,239.57105391849416,199.0412685614595,95.82842156739767
trip_0023,114.0,1596.178287120672,3.854285714285714,29.577464788732396,414.1307638934286,638.4713148482688,165.65230555737145
trip_0025,132.0,1036.5578654802457,2.767254901960784,47.70070148090413,374.5798280981544,414.6231461920983,149.83193123926176
trip_0027,116.0,1232.8557849722538,4.122549019607843,28.137931034482758,299.0518194225205,493.14231398890144,119.62072776900823
trip_0029,132.0,2183.832358469452,7.439019607843138,17.74427370252247,293.5645385538419,873.532943387781,117.42581542153675
trip_0031,70.0,1258.5953273569637,2.5302083333333334,27.6657060518732,497.4275480702696,503.43813094278545,198.97101922810785
trip_0033,48.0,568.1789132487828,1.032280701754386,46.498980285520055,550.4112517875701,227.27156529951316,220.16450071502805
trip_0035,66.0,1018.8649519007604,2.623823529411765,25.154130702836003,388.31306316137045,407.5459807603042,155.3252252645482
trip_0037,54.0,1151.8990553065364,4.345588235294118,12.426395939086294,265.0732174647867,460.7596221226146,106.0292869859147
trip_0039,66.0,1594.3525760644188,2.6090625,25.296442687747035,611.0825540072034,637.7410304257676,244.43302160288135
trip_0041,132.0,1777.4978837907067,4.318039215686275,30.56943056943057,411.64468292310437,710.9991535162827,164.65787316924175
trip_0043,120.0,627.5169422666474,2.44,49.18032786885246,257.17907469944566,251.006776906659,102.87162987977828
trip_0045,76.0,1371.1222699409843,3.215286195286195,23.63708714683645,426.4386392574113,548.4489079763937,170.57545570296452
trip_0047,132.0,1648.4999955158337,3.2698039215686276,40.36939313984169,504.1586697727722,659.3999982063334,201.66346790910893
trip_0049,44.8,1704.3246925641356,2.5168888888888885,17.79975278121137,677.1553166641896,681.7298770256543,270.8621266656758
trip_0051,138.0,1531.3108948899276,2.6194444444444445,52.68292682926829,584.5937668720826,612.524357955971,233.8375067488331
trip_0053,56.0,737.0858627039062,2.6115032679738563,21.443587946741417,282.24581287841033,294.8343450815625,112.89832515136415
trip_0055,83.0,2044.0647831295928,3.0113117283950617,27.56273925988941,678.7954776834139,817.6259132518371,271.5181910733656
trip_0057,5.999999999999999,128.40407073005494,0.7191666666666666,8.342989571263036,178.54563716809494,51.361628292021976,71.41825486723798
trip_0059,62.0,1125.0426445167082,3.366437908496732,18.417092988263615,334.1937903197778,450.0170578066834,133.67751612791113
trip_0061,11.6,413.0269684509841,1.2465396825396826,9.30576070901034,331.3388047217949,165.21078738039364,132.53552188871797
trip_0063,144.0,2604.632407714987,6.414736842105263,22.448309812930752,406.0388558137903,1041.8529630859948,162.4155423255161
trip_0065,65.0,806.6286432250092,2.1879084967320264,29.70873786407767,368.67567561889894,322.6514572900038,147.4702702475596
trip_0067,5.5,260.99564217778004,0.565,9.734513274336283,461.939189695186,104.39825687111204,184.7756758780744
trip_0069,132.00000000000003,1545.9260250125983,3.2849019607843135,40.1838476690742,470.61557497548205,618.3704100050393,188.24622999019283
trip_0071,204.0,2104.4504192172362,6.33,32.22748815165877,332.45662230920004,841.7801676868945,132.98264892368002
trip_0073,96.0,414.93932104414614,1.527843137254902,62.83367556468173,271.5850278908041,165.9757284176585,108.63401115632165
trip_0075,50.0,1284.3120430651534,1.9583333333333333,25.53191489361702,655.818915607738,513.7248172260614,262.3275662430952
trip_0077,90.0,1919.829144067376,3.610526315789474,24.92711370262391,531.7311040419846,767.9316576269505,212.69244161679384
trip_0079,90.0,811.2318391409134,2.3161764705882355,38.857142857142854,350.2461273751245,324.49273565636537,140.0984509500498
trip_0081,120.0,2271.0498551787905,5.504444444444443,21.800565199838516,412.58475366590864,908.4199420715161,165.0339014663635
trip_0083,46.0,369.27468078889854,2.1921875,20.983606557377048,168.45031767989667,147.70987231555944,67.38012707195867
trip_0085,120.0,1629.4001999741754,2.92,41.09589041095891,558.0137671144438,651.7600799896702,223.2055068457775
trip_0087,72.0,1489.2657407029878,3.1573333333333333,22.804054054054053,471.684672942247,595.7062962811951,188.6738691768988
trip_0089,138.0,2444.8594673717375,7.160666666666667,19.271948608137045,341.42902905293795,977.9437869486951,136.57161162117518
trip_0091,62.0,1408.8526273730713,3.364411764705882,18.428184281842817,418.75154585789335,563.5410509492285,167.50061834315736
